theta_0,theta_bias,sigma_squared
-0.7210904826809867,-1.2718604427339129,0.03086459486181161
-0.9822216145389556,-1.2972293976444758,0.031053686469439942
-0.7159027192332414,-1.2647354749938409,0.028716824761142193
-0.7613145527197702,-1.2735132516810135,0.0417500190695466
-0.7371885552897687,-1.2592616210118979,0.024059298737778012
-0.8088244901221339,-1.2751532685549718,0.036933349195716045
-0.8331692570576161,-1.285191651990277,0.03577017790786227
-0.6137758559978859,-1.2661784074888214,0.031233010421197114
-0.7851167085671901,-1.2588757659741785,0.036086238864460767
-0.8577917058410937,-1.248577429291997,0.03135539429658472
-0.793332467449129,-1.26198095776048,0.032024643296086626
-0.62417882819319,-1.2587958743237462,0.02742024383923276
-0.603374778349141,-1.2959955002442958,0.0321718622099575
-0.7384395704534044,-1.2479150791233644,0.02799764956879447
-0.7019933672190051,-1.2755296613322828,0.02796749457333695
-0.8492763596754792,-1.2881986816699111,0.033543489501286695
-0.7260357670923658,-1.254419393926892,0.03141522539028003
-0.8128937280712147,-1.252474988743696,0.03484295924286522
-0.8119968894080803,-1.2490934586238644,0.029138368444182983
-0.8276167495733229,-1.2444411533477289,0.02934164181336299
-0.7160412432467822,-1.2667351741010098,0.03457099768444914
-0.7175779724890261,-1.2408536034560458,0.03560665351184174
-0.6580572019992674,-1.250551693055002,0.02920670314217134
-0.7060052776921466,-1.2873102926014486,0.04398354940861043
-0.8840868372774754,-1.2773703878956733,0.03941991940955812
-0.8311569596851008,-1.2373355564763722,0.02750962299957939
-0.7330885061029146,-1.2827802415518765,0.03439767074604744
-0.8882104473670919,-1.2667185083868335,0.03475096051829206
-0.6843944082006623,-1.2652135073636253,0.031723156442622705
-0.7358961884136013,-1.2749714330319248,0.03766496805321049
-0.8306328338253494,-1.2645866077675756,0.03343064817899069
-0.5969124098136214,-1.258069918089288,0.029259210548669076
-0.7955915847182001,-1.267198921605748,0.0317598177806166
-0.8907817591136343,-1.2415273110133438,0.032303910092231075
-0.7205478942815314,-1.255620844293746,0.029816337796795805
-0.8597911105052658,-1.2829462378641903,0.02714203974919957
-0.8181210880937431,-1.219244818607053,0.03299361641742854
-0.8312294567830208,-1.2661311800436097,0.030931744191465813
-0.7374536886398513,-1.218972924281876,0.034744028061574575
-0.8414690350156112,-1.2699603385336724,0.03302590767836557
-0.814378432338653,-1.2754254128554807,0.03704663509838271
-0.6336631118495135,-1.2881882781324452,0.035956488406291155
-0.6568504023803862,-1.2814152301384758,0.03171591406904043
-0.7417604759837374,-1.2942393828882084,0.03188389141077002
-0.6914234845435815,-1.2393925531753933,0.02945784415171913
-0.7536538900968374,-1.2705469706053656,0.03221652257195164
-0.7846785299523575,-1.2776186993839567,0.028946537509921412
-0.8368733527685479,-1.2533771921733843,0.03160056674567907
-0.6128244111783394,-1.2668821035690807,0.03289036783416398
-0.7081955435161065,-1.3220049658546764,0.03792789045318031
-0.8358660713550479,-1.2565205999645814,0.03814197954930618
-0.7888994102157701,-1.2598914647292447,0.03143885883808542
-0.5983554972221052,-1.2541593093787835,0.03286492970139961
-0.7830909527067694,-1.2503883153026354,0.03315454109708369
-1.0188738767380425,-1.252504746635758,0.03806335690087259
-0.7659948419968984,-1.253769093382323,0.033111540354698196
-0.8006222619642577,-1.236189864968843,0.031524544939831936
-0.8620059178567294,-1.26035120229965,0.0299401263239257
-0.769487820883362,-1.236636640832539,0.030608738388251063
-0.7966480720893535,-1.264511688924724,0.037108084945871964
-1.0573564693822217,-1.2594867218372083,0.03580277003777994
-0.5929359208521077,-1.2755421773361963,0.030577141362876877
-0.9216253533863543,-1.2678217093556823,0.03433193485993991
-0.6352240449895961,-1.2692253900421993,0.030793970516199348
-0.809880555808126,-1.2621301096717144,0.032317164868293224
-0.888937914210374,-1.2637655787451527,0.03405668590670315
-0.6691679045060545,-1.257024817573181,0.039893337065889385
-0.6859149079696955,-1.2661777497835782,0.030431428355328697
-0.7769598123453003,-1.2631316981191165,0.030108069851762148
-0.8701549616833133,-1.2756679919083034,0.038094497278972454
-0.7945526604933666,-1.2768762226463204,0.036686734856679226
-0.9030764399846628,-1.2817956666088763,0.02918450555404363
-0.7472242761283777,-1.2793414947562656,0.02604500021844969
-0.8346750587031856,-1.2238181664370087,0.03675200986703015
-0.8994008646246529,-1.27271640238727,0.04104901834024582
-0.9802984502353305,-1.2771494221034119,0.039413908643916
-0.7209206762309127,-1.2590859665872447,0.04410955153953618
-0.7809964729118373,-1.2734471184790424,0.02773457846829089
-0.6012503000895104,-1.2776056719664048,0.03299421281730802
-0.9053593739176484,-1.2410350703992148,0.028440604551627533
-0.8338271015181224,-1.2932403093427975,0.03813996418533706
-0.7431331960493763,-1.2641312850442359,0.03854371227155254
-0.8412440321604258,-1.2719431488020094,0.025600914531369968
-0.633667186623605,-1.2481737246457159,0.03378666905772971
-0.5920255420919421,-1.2697365423166147,0.026650113563144458
-0.9274783981796256,-1.305039719629788,0.03408418870240355
-0.8800370918496476,-1.2222598682174202,0.03459062335935704
-0.9282543098412386,-1.2580607923672404,0.03523181183652161
-0.7180762635289054,-1.2306619450878207,0.033042555267086215
-0.8481802711294609,-1.2690154888825305,0.034580284210986495
-0.9008024154249732,-1.2538375261139767,0.037158288722576434
-0.6983004829652709,-1.2828834516847887,0.03299677256718608
-0.7811816879402262,-1.2531446646214128,0.028067208753329926
-1.0095641809181226,-1.2752119146579048,0.03414979354670019
-0.6763125277215263,-1.2557228564677407,0.03524830117375111
-0.7276671693853546,-1.2661566443720882,0.03135753530361523
-0.5735882873935052,-1.276812354628119,0.0314455706696082
-0.682044673222341,-1.2661527426711165,0.02908307388143665
-0.8210758352262163,-1.2686983280516508,0.0357026866720329
-0.599362179231,-1.2791761557033765,0.03613485260331762
-0.6656623015491587,-1.27840895064146,0.03979398671275997
-0.8661398357024851,-1.3020448614324664,0.03594475094097135
-0.7663566073336151,-1.2693152197117619,0.028142027621232954
-0.647727882699228,-1.290768608429948,0.03641064983906629
-0.8333231772207217,-1.29138526410988,0.03588468304963273
-0.7958192306732198,-1.2505553845803783,0.027732264796728603
-0.8265932205971571,-1.2846711959538584,0.029788876825739295
