theta_0,theta_bias,sigma_squared
-0.881730866302382,-0.07770838582659476,0.02618669446574274
-0.8802315313243556,-0.0774447017884629,0.023266807219832136
-0.8798193914023847,-0.07761247330891913,0.023874214132465894
-0.8797033536712473,-0.0779435852621116,0.024124995543459947
-0.8802541338911274,-0.07793727195181292,0.022861819680809376
-0.8800698145939007,-0.07814195673765632,0.02161419733621899
-0.8829321168101236,-0.07824069316148442,0.02031695494965429
-0.8843166355994865,-0.07795855251954335,0.02041740749381746
-0.8862546705989766,-0.07820809473759979,0.021153839964367736
-0.8865129453911527,-0.07810625195509016,0.01993387126305081
-0.8890776161736444,-0.07811015533389208,0.0194028848876525
-0.8906487485838274,-0.07806820319425076,0.01773176591138174
-0.8912437697592234,-0.07793079387002884,0.018145036317868103
-0.889971446042977,-0.07788307272540862,0.01809196267250406
-0.8898574622810618,-0.07786295207304487,0.018748064488285972
-0.8895030106464652,-0.07751873608480644,0.016272448513029975
-0.8899461599202215,-0.0777583279553063,0.01574016971442324
-0.8891521185917344,-0.07749118294318486,0.0160533646258205
-0.8882314425672657,-0.07768865967549851,0.016821171174044105
-0.8862816279100433,-0.07754423719738734,0.01527243286860981
-0.8877149043402561,-0.07762573545678829,0.015046110710249415
-0.8894087339358512,-0.07807819300370218,0.016324940182417768
-0.891331809326028,-0.07822032487097945,0.01568633565491131
-0.8895044656785737,-0.07799226203995631,0.016295718698044255
-0.8901686638058942,-0.07775011702270973,0.016470920864101873
-0.8917081571722897,-0.07767817213726778,0.016445498674056955
-0.8910769674465998,-0.07729049206775931,0.01749082187562968
-0.8920570785190148,-0.07762734526755444,0.017012106140835065
-0.8926903681609756,-0.07741573564201007,0.017350134514479844
-0.8939062419451866,-0.07739727378431699,0.019147541097433645
-0.8941308152356088,-0.07731528988072053,0.018404269402967473
-0.8943548292443576,-0.07720385243724208,0.01862773794198984
-0.8929390239115484,-0.07708896836734498,0.0186465017315287
-0.8933113123497497,-0.07743538612253738,0.018789643386695382
-0.89333753533486,-0.07723256297715736,0.018170394548297955
-0.8913876638394732,-0.07718145209183719,0.02029412881065843
-0.8909059924802101,-0.07727830163441506,0.02096127946756986
-0.8919933266418548,-0.07717295935441007,0.020317257436008533
-0.8944803680557185,-0.07742140280991934,0.022648699912096754
-0.8927909814005124,-0.07764722885774554,0.023268079501620718
-0.8932954287200863,-0.07791450006697083,0.023327025081203503
-0.8945468861539886,-0.07825881118999066,0.023707943291300746
-0.8969230203186525,-0.07844474933778568,0.024043074870892207
-0.8950605099519829,-0.07813947819463163,0.024895618895906187
-0.8969075246914596,-0.0780216697285641,0.02328609623732963
-0.8971621499508272,-0.07796696367959152,0.02387939743116172
-0.8990285387425144,-0.07823326136189965,0.02400647918062751
-0.9000822902059116,-0.07823213045250399,0.021911000500599145
-0.9001906993072936,-0.07796745131364836,0.024370604568593995
-0.9025784593030328,-0.07789849454413159,0.024656298081618785
-0.9037327445670349,-0.0778002123369682,0.02361824670101024
-0.9047002828071541,-0.07787687310692035,0.024345994463302878
-0.9061340467432049,-0.07808162613448612,0.023813484853578367
-0.9064551939014829,-0.07829839449915078,0.024300675066580495
-0.9066765310404941,-0.0784046163067799,0.0255267711163913
-0.9055244311941446,-0.0785344444505808,0.0284258265543544
-0.9044699736274722,-0.07859032695317401,0.02882941200818594
-0.906693215961568,-0.07854644433809672,0.028324686809219082
-0.9062387673592858,-0.07895781323576456,0.0293330139683471
-0.9047158734387805,-0.07877185652044401,0.02882234551437831
-0.9039196107555562,-0.0785829147420827,0.029552201319822828
-0.9034085547854351,-0.07841815836422752,0.02933967408553231
-0.9024345282728952,-0.07851907513867652,0.031688352410790314
-0.902171714405634,-0.07840547171585129,0.03175527510236391
-0.9007355890197852,-0.07844580923092719,0.03137677079603819
-0.8999435985133762,-0.07856035093995008,0.0315203774598527
-0.8995244997768698,-0.07815906605969988,0.02809202548461414
-0.8991746818296106,-0.07845955651091457,0.02935256466014911
-0.9000606349855929,-0.0785109740343536,0.029657246567580717
-0.9011845732767837,-0.07861230007408242,0.02483917104753103
-0.9021905831258382,-0.07870618805408275,0.025029098302374472
-0.9005588258555746,-0.07867889677322282,0.024083442703298742
-0.9016552751394029,-0.0789538611310191,0.024207526302497718
-0.902755214765022,-0.07887886184945334,0.022380950600247855
-0.9017456295699716,-0.07838584308754604,0.02112689529305763
-0.9019211721614534,-0.07815011222662573,0.020770192813781747
-0.9012715964852521,-0.0780955661027739,0.020886995374004416
-0.89934369708329,-0.07782812137279792,0.021928602404800032
-0.8992246562061833,-0.07770082909311293,0.021899049229249564
-0.8981202640207281,-0.07769343942237139,0.0218588136656004
-0.8981110845365537,-0.0780805905123859,0.023222892431267704
-0.8984062074368289,-0.0783536464298458,0.023673908311668844
-0.8971375570192819,-0.07819564690263736,0.021134203649320716
-0.8978447433775205,-0.07850542870192709,0.02112588404874842
-0.8962598831320908,-0.07836431574918655,0.021025401709804888
-0.8955110599209458,-0.07852206840208484,0.02145560564733324
-0.8933503364313802,-0.07864738777385111,0.02207050730980655
-0.8959513554426402,-0.07882520377689171,0.021077744803101903
-0.8965150365363903,-0.07883363437702172,0.021752434103563135
-0.8935440255815356,-0.07846793380126509,0.022657145587616594
-0.8929426210996412,-0.07871742200685011,0.021205586465306236
-0.8904099143882349,-0.07821852629731761,0.02253442964576263
-0.8893343329101112,-0.07822368075007523,0.021347548888296725
-0.8876131341847746,-0.07811754513491363,0.021052066722628025
-0.8881995118041789,-0.0783918238473685,0.02169531846132136
-0.8869192493699021,-0.07855740828185255,0.020096017174123407
-0.8867116820118055,-0.07880456918206385,0.021774903095080223
-0.8871155860182297,-0.07861896731638197,0.023683469218259062
