theta_0,theta_bias,sigma_squared
-1.5651875524264285,0.9827758807757458,0.001485542988329867
-1.5615672480302594,0.9805027041154863,0.0015885103652519357
-1.5640589447717943,0.9820672319108286,0.0019915250271475725
-1.56757776618193,0.9842766877924667,0.0014760997915982824
-1.5663987247402351,0.9835363716656503,0.0013796613037935265
-1.564127094770509,0.9821100230523476,0.0013926141855725403
-1.5669041517483595,0.9838537275711943,0.0014789844204218493
-1.5631226675197063,0.9814793465319344,0.001578406498444622
-1.5668165631173536,0.9837987309996155,0.001478373237641199
-1.5658655974274378,0.983201622910599,0.0012658693355846436
-1.564389589906033,0.9822748428202025,0.0013464255859092032
-1.5648845968186973,0.9825856559442533,0.0015989932216503922
-1.5631057883120851,0.9814687481939224,0.0012520889425861788
-1.5637234003674347,0.9818565447245916,0.001604546978554329
-1.567310056461469,0.9841085937366048,0.0012277171702876595
-1.5684884336660918,0.9848484927671797,0.0014990297694262309
-1.565144373306205,0.9827487686519102,0.0016640042549594999
-1.5666621215887657,0.9837017576785437,0.0016983580708488405
-1.5658702812090366,0.9832045638658334,0.0012244568448696916
-1.562742126672463,0.9812404063896166,0.0012785513974128357
-1.5661116467874077,0.9833561164557917,0.0012431488250964646
-1.5640088458630843,0.9820357750681193,0.0015193448101438886
-1.5673451007187802,0.984130597981312,0.0014997725616831877
-1.5657007991947047,0.9830981466937774,0.0015244860967389942
-1.5621144725270928,0.9808463044578808,0.001498346744180013
-1.5630662600242515,0.981443928658815,0.0012375117428038043
-1.5658392675777681,0.9831850904839731,0.001429943854582763
-1.563876373623285,0.9819525960789848,0.0015081877617620929
-1.567390711813947,0.9841592369810124,0.0012703025921139881
-1.56327172534221,0.9815729395091495,0.0013764983333759166
-1.5678481019781632,0.9844464305718695,0.001656468836890292
-1.5658689584043193,0.9832037332687021,0.0013845909367784072
-1.5643084626740278,0.9822239033104092,0.0013669265887656496
-1.5658378204622476,0.9831841818313329,0.0013780134962357903
-1.5668214799173608,0.9838018182370772,0.0013879461706654884
-1.564530148542467,0.9823630991880226,0.0014027677040215874
-1.5668921005551477,0.983846160722841,0.0015231278824131616
-1.5645720855017549,0.9823894311475856,0.0015981454144029933
-1.565166182380554,0.9827624625966619,0.0014878104368368662
-1.566466800035966,0.9835791159573198,0.0013359255884045863
-1.5646452185180408,0.9824353511141004,0.0013277109345286012
-1.5649617422431434,0.9826340953471293,0.0014498546722834286
