theta_0,theta_bias,sigma_squared
-0.20277627539855794,-0.8897865347751756,0.025092337198785248
-0.10060033509043667,-0.918263384750643,0.020911981521935904
-0.2542308612660925,-0.9108803194679379,0.022177598067212475
-0.26167080547406524,-0.9052027512679994,0.02441235081514701
-0.21628958811363455,-0.8956574254201212,0.03030308649836581
-0.19559865449628017,-0.9055568554222903,0.021734413456736247
-0.26828184219292067,-0.8753974521899236,0.028692576595075604
-0.28828660107100307,-0.9136860223412893,0.018034646621951762
-0.24275806685571766,-0.9051074612084951,0.022816518289840326
-0.302307392413811,-0.883415616825752,0.02407546427516894
-0.23104457805909578,-0.8867767589769231,0.02266446613467083
-0.3222687041617453,-0.8853127503324442,0.023656621678649164
-0.09446360729147982,-0.9189719175579877,0.02446566422281954
-0.2651979740708054,-0.9036292252935225,0.018113445248813687
-0.2675358023911734,-0.8752825373635637,0.02222186484424398
-0.24984760176833296,-0.8804968743344943,0.0251804263541484
-0.2919927669758806,-0.8873428299193569,0.02126412817901072
-0.02616670436203103,-0.9466240254134465,0.020564704327754257
-0.2668275024234369,-0.889973705079058,0.025048985569783237
-0.3426776221053878,-0.8784511000117738,0.029897806627631692
-0.15520398114823786,-0.9336948689992955,0.016892199419185037
-0.039632806684004734,-0.9055195406117593,0.022069929782790727
-0.23988970699158074,-0.8745289780531772,0.02392675066700508
-0.32376628307018157,-0.8839121126742011,0.026137914371923553
-0.320698618168491,-0.8934966648704548,0.02473934089524505
-0.3118846491702495,-0.9074616266900525,0.023862096313107352
-0.2488047526658218,-0.8869720795224811,0.0232233190326518
-0.17709083359076977,-0.9127264229520704,0.02264413562588518
-0.22098129934474645,-0.8922900602958374,0.02994393858841904
-0.3905939517719503,-0.8452514910480609,0.02638449489874128
-0.29926141256165656,-0.9004377679679882,0.021891804120846816
-0.27284245709286253,-0.8870883739368078,0.029135231182036026
-0.20024687384118883,-0.9016329880927544,0.023257957824719643
-0.19441228914077688,-0.9050193659206652,0.02195990985852806
-0.33122680734478954,-0.9137363917544837,0.02408279661663988
-0.27723458155041303,-0.8807734363035641,0.02588967711992837
-0.310864840550098,-0.8981760586653043,0.0213658197435706
-0.2399875219730457,-0.9070237781638661,0.02841971967206747
-0.34532127765333753,-0.8695901137513465,0.02171825255076125
-0.20429737621352095,-0.9165522975119338,0.023375734508746342
-0.28028486770882033,-0.8833965670953328,0.021152342687263515
-0.34530760701721797,-0.8725740208770789,0.01818267438519059
-0.09753592370794967,-0.9441743890929112,0.02541225789673203
-0.20893957339620634,-0.9011399255183868,0.02421741752270038
-0.20352632864070166,-0.8891786251938064,0.026890722813364947
-0.240974509319565,-0.8772497058992622,0.022956489047361556
-0.0867378260147188,-0.9266133787391443,0.027128447113047804
