theta_0,theta_bias,sigma_squared
0.12160449110736757,-0.36838324159866676,0.02478346973180303
0.2640281972768363,-0.3043625598628971,0.01876816929453512
0.5889802907551211,-0.3443046859311455,0.029309813458550153
-0.06985568084008703,-0.32370916765960067,0.0193801667051374
0.1594266511840496,-0.22014441703549173,0.022411542644371868
-0.10183205281249097,-0.2825100068633616,0.02174948814608056
0.28226593421880924,-0.2767368171621993,0.027006174700389154
0.17699448173285948,-0.2978071601029875,0.023108496854584982
0.19566210886733026,-0.14727317631751213,0.024306877993768385
0.07033335886324871,-0.2736698141340814,0.023335053443399863
0.24269943244899578,-0.2513118561236552,0.02268243721371786
0.2062105132968831,-0.26692982649799907,0.0205434575195532
0.23546662340372004,-0.23995974061140152,0.025653812363674366
0.10267186972176745,-0.1726208232996909,0.03667599696503415
0.13107257507419484,-0.30888004683747444,0.019240101815017546
0.22239060538366637,-0.28962103999076116,0.021479320083601813
0.32883275478370455,-0.1709172939312223,0.033707482142855266
-0.2700161427849054,-0.32735197085107914,0.022293086296482856
0.3966216282908128,-0.20941580251919828,0.023147414164755454
0.08496293878975608,-0.28251540707590167,0.023102097585962076
-0.09484220668752302,-0.4035786062530513,0.022102263881085275
0.5622066324399251,-0.34425653354642216,0.019798670186618718
0.45951125356408634,-0.37093316491590683,0.024729442690076302
0.1947105023257264,-0.34665508766637443,0.02602162100341993
0.4710717288890769,-0.30728333775413785,0.0202817022272289
0.34051067024431964,-0.35060707055963125,0.02349391538916323
0.11069975100668278,-0.26430260341415746,0.026220126915704155
0.518947189752633,-0.30645351865317966,0.027742110882313806
0.14994224901875058,-0.22494420644435242,0.023291116881632826
-0.09006036802768402,-0.35663696865259686,0.029738918467105715
0.18308259552798514,-0.24910766123977046,0.02627472946065679
0.018290687861066912,-0.19967189884115444,0.025452127956085677
0.3026815134869657,-0.29113637281976734,0.024116315968264503
0.13276607039706528,-0.3640271108584227,0.02778249030566605
0.3484719363460266,-0.252554735027555,0.021037019212253698
0.2159385470392473,-0.285552341148588,0.027101309025000964
-0.18367966516333661,-0.32854510795260766,0.021606241010202403
0.9455956195916378,-0.3421343014046911,0.025898415433986646
0.5597594576366072,-0.329841862510392,0.028628663996679817
0.4113612160193386,-0.26234731185811777,0.02123975354924827
0.6956347489255785,-0.23865324555169043,0.03542459405017631
0.39048746139312285,-0.2982119544532757,0.02340406429627324
0.35907406383388757,-0.31135844561279014,0.02195251614693736
0.6456463579735421,-0.34157522570305915,0.024987230459835977
0.476587784191535,-0.22519984142482907,0.022128015357831193
0.1477044947636173,-0.312663919410779,0.02013941795510606
0.366099352709284,-0.2939793654055639,0.021163058714707
0.5765460310713575,-0.29912688538667903,0.02766119368345132
-0.12530361488935088,-0.26735114694651824,0.026136433878701147
-0.20315593480471061,-0.30921691643198523,0.019638018707867855
0.43586464396009866,-0.304641824515951,0.022668754734557726
0.46213501656582845,-0.2421615975175349,0.027956104055523835
0.5643035675633643,-0.2553063999575853,0.042051400216937915
0.7697895661643754,-0.28346881225864917,0.02739108032220604
0.43106707159181673,-0.29235872976756494,0.026200849394167763
0.13406451186091353,-0.2888876768527871,0.0253427263953631
0.31801705152997306,-0.2562136416394649,0.023377360622259293
0.14006343504149968,-0.19434780737521407,0.02236451898102846
-0.16292360059447097,-0.29890363691030125,0.02152172662803035
-0.0932815641567375,-0.2097254690099119,0.023446242663165626
0.25397109893718706,-0.32841880551122676,0.02136290949985478
0.9570334036367489,-0.2773346944223477,0.025226801238332125
0.6278336093194592,-0.30502670493438283,0.045572832593931197
0.4309924593402607,-0.3942978388978824,0.022158767094202128
-0.5272945729314411,-0.2947370419467631,0.032844934172567654
0.12390905198274435,-0.2804065628703161,0.03235114352711872
0.019282627310669487,-0.3775979458554332,0.025712357937373153
0.591281534836605,-0.3211656541674041,0.020710975726405678
0.4049501993289049,-0.2366325286585446,0.027098905064342017
0.28361255354886916,-0.28786733555831034,0.03145947443454668
-0.10331435198905381,-0.29812155616552655,0.019045246021288435
