theta_0,theta_bias,sigma_squared
-0.15975746236916993,-0.7234785611156757,0.004002637176173241
-0.15845866170681214,-0.7175968050166114,0.002998225700982078
-0.16023947466123664,-0.725661404771347,0.003971966614584016
-0.15580929675125768,-0.705598875114628,0.003648796587124059
-0.15951085801779508,-0.7223617867411861,0.003349415008932632
-0.1547463014550894,-0.700784989426629,0.005576908889601165
-0.16109095808837204,-0.7295174377367015,0.0039787640932164
-0.1566689533804151,-0.7094919217625717,0.0032386928518948438
-0.15919918670806318,-0.7209503503396175,0.003794242412398745
-0.15902304945965656,-0.7201526945373004,0.0030244658915371545
-0.1586524119834018,-0.718474223432295,0.0035750455969208307
-0.1582681225211695,-0.7167339283106847,0.006106002889160982
-0.16286224056664142,-0.737538877982581,0.003724591711266664
-0.15930192876226648,-0.7214156295349472,0.004800607466112893
-0.15750821322696434,-0.713292598519088,0.0055575528921953735
-0.15618165249211777,-0.7072851279807979,0.0031702528705677027
-0.15575278089315256,-0.7053429375959398,0.004158706502711869
-0.1586802388461377,-0.7186002403608032,0.0035205144458422483
-0.1613389229443121,-0.7306403731523777,0.004061352410108447
-0.15744912692480403,-0.7130250199721452,0.004595561873213577
-0.15383702296223636,-0.6966672252332684,0.004114600336702403
-0.15430853367514868,-0.6988025112622643,0.003966057311768536
-0.15223390745653623,-0.6894073477095035,0.004697663576104982
-0.15980902029073368,-0.7237120467380718,0.004139114797712051
-0.15595350134515717,-0.706251921387052,0.004884854500335187
-0.15154080366717673,-0.6862685533350246,0.0031406654411091973
-0.15505642842839798,-0.702189431946499,0.0031884790746478154
-0.16208609996853512,-0.7340240427148733,0.004303134469839306
-0.15552129667976314,-0.7042946365800447,0.004072568498722831
-0.15416864537919758,-0.6981690124142791,0.003462473586408481
-0.1565955144433733,-0.7091593458601949,0.0035335341645780895
-0.16045669158582873,-0.7266450945599123,0.004093411313479365
-0.1604278492171697,-0.726514479001424,0.003967377615710593
-0.1614268324853093,-0.7310384801120832,0.003891776665772278
-0.159080737146608,-0.7204139397351943,0.0029795634352627336
-0.15651391974204698,-0.7087898353560886,0.004513715903103689
-0.1555979949713795,-0.704641973182105,0.0032610422310984316
-0.15961003316581232,-0.7228109127757302,0.003174438096067449
-0.15846877604877443,-0.7176426088478891,0.004298917502298794
-0.15648797305772044,-0.7086723327601807,0.004749406821963629
-0.15848128882895526,-0.7176992749352525,0.006810140478163142
-0.15700746177229413,-0.7110248925960361,0.002634583280636542
-0.1574693153003886,-0.7131164458878532,0.005115763632039701
-0.16193070191343978,-0.7333203058914859,0.0032460147444839968
-0.1566040273328794,-0.7091978973175772,0.0038890958754251507
-0.1594367726564348,-0.7220262839236684,0.005599418424191755
-0.15877257771511338,-0.7190184068179365,0.003205894950892782
-0.15976710697707336,-0.7235222377423886,0.00475061829026243
-0.15817774029058843,-0.716324623570898,0.0033537622896053347
-0.15573797192207134,-0.7052758737117892,0.0036667637986406254
-0.15920082249809353,-0.7209577580799261,0.0036732254682063713
-0.15450226829207403,-0.6996798587511828,0.004807947777238021
-0.16270986150849756,-0.7368488128052275,0.004179304200547938
-0.1584558981870019,-0.7175842896466401,0.005028816198642408
-0.15795421363607215,-0.7153123581149836,0.004495794560434919
-0.16555773646907818,-0.7497457159843455,0.0035012548738582814
-0.15856277831409227,-0.7180683079406005,0.003547106124340628
-0.16206340519616996,-0.7339212668967379,0.003952811550375241
-0.15943600603407856,-0.7220228127589235,0.005502693891675535
-0.1603360442110376,-0.7260987301658999,0.004641382708037952
-0.15590026125958958,-0.7060108176183103,0.005726069109658926
-0.15823122997726802,-0.7165668563449168,0.004095576250940233
-0.1564704721940483,-0.7085930785408268,0.005632100026758048
-0.15761502178400802,-0.7137762926961863,0.003256176952275243
-0.1583811893827131,-0.7172459635327979,0.003915067021237061
-0.1555740982624814,-0.7045337545076608,0.003670846646613838
-0.1568830258542143,-0.7104613714143715,0.004986649409432709
-0.1577970427710303,-0.7146005933264616,0.0053712188491833734
-0.15608307442933742,-0.7068387064537371,0.0035760701263254716
-0.16191849015087803,-0.7332650039690307,0.002834673919838141
-0.1506106760151879,-0.6820563714448287,0.005296714463600082
-0.15790938711421196,-0.7151093565417873,0.004936388948227897
-0.16024599133177816,-0.7256909161458382,0.004418415739328183
-0.15675726299661513,-0.7098918410155511,0.0043498291772200584
-0.15864557079824002,-0.718443242565146,0.0027857713228311306
-0.1562270807833992,-0.7074908553775963,0.005798571702290102
-0.15982024634936748,-0.7237628850087873,0.005074281305415598
-0.1569930447943895,-0.7109596038183732,0.0043397815811882815
-0.15901478613514364,-0.7201152734996319,0.004270775183137584
-0.16313460636790572,-0.7387723152095007,0.0035589043258890483
-0.15609955782780777,-0.7069133536127684,0.004132558975896243
-0.15903060757180884,-0.720186921974213,0.004409875628048991
-0.15904132842707447,-0.7202354728347911,0.005312798086960047
-0.15534268854788433,-0.7034857909192835,0.004630471859391239
-0.15790852506629033,-0.7151054530326909,0.0038043150766023806
-0.15798680188352285,-0.7154599378765302,0.004507308931250408
-0.15419026673855557,-0.6982669270541569,0.0039677186170278
-0.15900374509254595,-0.7200652729605804,0.0034835836669559308
-0.1593738294433209,-0.721741238845568,0.0036187289236802433
-0.16344744810837986,-0.7401890518530979,0.004597020049403279
-0.1574418311840071,-0.7129919799376121,0.003803577291748188
-0.158405130861658,-0.717354385070448,0.003771191610167118
-0.16249904886532257,-0.7358941253975795,0.0036915024859520934
-0.15981816015650444,-0.7237534377373732,0.003102783184531998
-0.15682661280326968,-0.7102058990639978,0.0047879415539425416
-0.16060316215969814,-0.7273084017808842,0.002950294805911923
-0.15882741154168775,-0.719266727944497,0.004026847581958658
-0.15842693777790293,-0.7174531398142627,0.0029201103304419057
-0.15876227966148496,-0.7189717708714191,0.004301528544910644
-0.15936514010644953,-0.7217018885059318,0.00358880566948743
-0.15879089714821526,-0.719101368103182,0.0037735982930454646
-0.1637102697085404,-0.7413792671224275,0.004792954146431008
-0.1525883185419393,-0.6910123352277695,0.005992060923256937
-0.16123242794103276,-0.7301580985190178,0.0034546576186243686
-0.15735974494598937,-0.7126202439227846,0.004528817965749706
-0.1588239884264864,-0.7192512253209443,0.003928198063829917
-0.15606900895002215,-0.7067750097894736,0.004895222361946778
-0.15491536623217134,-0.7015506167553405,0.004555390827376847
-0.16016986245161197,-0.7253461584313535,0.004323403947723142
-0.15572255472035798,-0.7052060554365199,0.0032126203735175943
-0.15655861347740263,-0.7089922358971804,0.004552128108235021
-0.15420724840974098,-0.6983438303199849,0.004530134966863904
-0.1572984320078501,-0.7123425816762844,0.004548698239767768
-0.15790556491293362,-0.7150920474038328,0.0036745184283201006
